config_id,power_mw,energy_mwh,scenario,dc_price_addition_percent,dam_weight,idm_weight,dc_weight,expected_return,portfolio_risk
11,100,200,up_20%,20.0,0.0,0.4153747747134628,0.5846252252865373,9270.667904359352,6893.362112167821
11,100,200,up_25%,25.0,4.2190001647868556e-17,0.40172657564780456,0.5982734243521954,9519.367661129252,6909.578441381563
11,100,200,up_30%,30.0,6.3475925836243895e-18,0.3946626354579236,0.6053373645420764,9768.830817075897,6918.542911116289
12,200,400,base_case,0.0,0.7557220087664404,0.2442779912335597,1.734723475976807e-18,17101.97904616222,12845.379752975117
12,200,400,down_80%,-80.0,0.9999999999999998,2.220446049250313e-16,0.0,16913.03612021858,12184.58924334365
12,200,400,down_75%,-75.0,1.0,0.0,0.0,16913.03612021858,12184.58924334365
12,200,400,down_70%,-70.0,1.0,0.0,0.0,16913.03612021858,12184.58924334365
12,200,400,down_65%,-65.0,0.9999999999999994,5.828670879282072e-16,0.0,16913.03612021858,12184.589243343651
12,200,400,down_60%,-60.0,0.9999999999999999,8.326672684688674e-17,0.0,16913.03612021858,12184.58924334365
12,200,400,down_55%,-55.0,1.0,0.0,0.0,16913.03612021858,12184.58924334365
12,200,400,down_50%,-50.0,1.0,2.7755575615628914e-17,0.0,16913.03612021858,12184.58924334365
12,200,400,down_45%,-45.0,0.9999999999999992,6.106226635438361e-16,2.7755575615628914e-17,16913.03612021858,12184.589243343651
12,200,400,down_40%,-40.0,1.0,5.551115123125783e-17,5.551115123125783e-17,16913.03612021858,12184.58924334365
12,200,400,down_35%,-35.0,0.9999999999999992,5.551115123125783e-16,1.249000902703301e-16,16913.03612021858,12184.58924334365
12,200,400,down_30%,-30.0,0.9948771016170744,0.00512289834475694,1.199127602768968e-16,16916.998554092537,12194.464583450314
12,200,400,down_25%,-25.0,0.9835413579422556,0.016458642057744388,5.4643789493269423e-17,16925.766468833885,12217.718570463108
12,200,400,down_20%,-20.0,0.9683254391388857,0.031674560861114184,0.0,16937.535602046057,12251.51302483384
12,200,400,down_15%,-15.0,0.9468637205140092,0.053136279485990756,6.938893903907228e-18,16954.13570544582,12303.104372455073
12,200,400,down_10%,-10.0,0.9144419207624288,0.08555807923757136,4.85722573273506e-17,16979.213157894515,12387.2057737134
12,200,400,down_5%,-5.0,0.8603547708709618,0.13964522912903832,0.0,17021.04821763461,12537.54475357245
12,200,400,up_5%,5.0,0.1963524582119551,0.5955970526509974,0.2080504891370474,17340.872909846723,13628.864384412633
12,200,400,up_10%,10.0,1.129740578250344e-15,0.5660380516791799,0.433961948320819,17628.578318273463,13654.328749204085
12,200,400,up_15%,15.0,0.0,0.4494690346345515,0.5505309653654487,18052.30515999326,13719.214040373026
12,200,400,up_20%,20.0,3.0509819046647036e-17,0.4153722932508081,0.5846277067491918,18541.397898976044,13786.729687457999
12,200,400,up_25%,25.0,2.1120352804539792e-17,0.4017277182140707,0.5982722817859292,19038.673556642207,13819.153950632157
12,200,400,up_30%,30.0,1.0641395074388212e-17,0.39466261475535463,0.6053373852446453,19537.66184842509,13837.08574400184
13,300,600,base_case,0.0,0.7557219096600262,0.24427809033997389,3.469446951953614e-18,25652.968469821477,19268.070281145297
13,300,600,down_80%,-80.0,0.9999999999999993,5.273559366969494e-16,1.249000902703301e-16,25369.55385245901,18276.884109432012
13,300,600,down_75%,-75.0,1.0,0.0,0.0,25369.553852459012,18276.884109432012
13,300,600,down_70%,-70.0,1.0,0.0,0.0,25369.553852459012,18276.884109432012
13,300,600,down_65%,-65.0,1.0,0.0,0.0,25369.553852459012,18276.884109432012
13,300,600,down_60%,-60.0,1.0,0.0,1.6653345369377348e-16,25369.55385245901,18276.884109432012
13,300,600,down_55%,-55.0,0.9999999999999996,4.996003610813204e-16,6.938893903907228e-17,25369.553852459012,18276.884109432012
13,300,600,down_50%,-50.0,0.9999999999999992,4.440892098500626e-16,2.7755575615628914e-16,25369.55385245901,18276.884109432012
13,300,600,down_45%,-45.0,0.9999999999999996,4.996003610813204e-16,0.0,25369.553852459012,18276.884109432012
13,300,600,down_40%,-40.0,0.9999999999999991,6.38378239159465e-16,2.636779683484747e-16,25369.55385245901,18276.884109432012
13,300,600,down_35%,-35.0,1.0,0.0,0.0,25369.553852459012,18276.884109432012
13,300,600,down_30%,-30.0,0.9948770807619811,0.005122919238019107,0.0,25375.497529984907,18291.697180808347
13,300,600,down_25%,-25.0,0.9835418687699737,0.016458131107403802,0.0,25388.648789959698,18326.576466641098
13,300,600,down_20%,-20.0,0.9683261400595358,0.031673859940464226,3.469446951953614e-18,25406.302276695198,18377.267354317883
13,300,600,down_15%,-15.0,0.9468626037029385,0.05313739629706127,1.8735013540549517e-16,25431.204550719383,18454.660969384662
13,300,600,down_10%,-10.0,0.9144452315688082,0.08555476843119197,0.0,25468.815607472385,18580.795573747986
13,300,600,down_5%,-5.0,0.860360641065804,0.13963935893419602,0.0,25531.56525276919,18806.29218397007
13,300,600,up_5%,5.0,0.19625856056123203,0.5956480718786197,0.20809336756014832,26011.37906058979,20443.48490743294
13,300,600,up_10%,10.0,2.5038576645619353e-16,0.5660221209782023,0.4339778790217976,26442.90740674115,20481.478635500273
13,300,600,up_15%,15.0,1.21812675380938e-16,0.4494714393308267,0.5505285606691732,27078.428028723232,20578.81518213256
13,300,600,up_20%,20.0,3.5179200187095153e-17,0.41537150377883075,0.5846284962211693,27812.12746893547,20680.097357900966
13,300,600,up_25%,25.0,1.587560852579765e-17,0.40172735371920876,0.5982726462807912,28558.04113051909,20728.732430509794
13,300,600,up_30%,30.0,0.0,0.3946626309421165,0.6053373690578835,29306.49275230346,20755.62871424521
14,400,800,base_case,0.0,0.7557219268030207,0.24427807319697925,3.469446951953614e-17,34203.95800471139,25690.759727182965
14,400,800,down_80%,-80.0,0.9999999999999999,2.7755575615628914e-17,0.0,33826.0719125683,24369.17816292848
14,400,800,down_75%,-75.0,0.9999999999999996,3.608224830031759e-16,0.0,33826.0719125683,24369.17816292848
14,400,800,down_70%,-70.0,1.0,2.7755575615628914e-17,5.551115123125783e-17,33826.0719125683,24369.17816292848
