config_id,power_mw,energy_mwh,scenario,dc_price_addition_percent,dam_mean,idm_mean,dc_mean,dam_std,idm_std,dc_std,corr_dam_idm,corr_dam_dc,corr_idm_dc,num_days
6,50,75,up_10%,10.0,3245.6184,3408.1642,4388.3527,2305.7077,2875.1755,2015.6101,0.6687,0.7221,0.4698,366
6,50,75,up_15%,15.0,3245.6184,3408.1642,4587.6628,2305.7077,2875.1755,2015.5869,0.6687,0.7221,0.4698,366
6,50,75,up_20%,20.0,3245.6184,3408.1642,4787.1719,2305.7077,2875.1755,2015.5651,0.6687,0.7221,0.4698,366
6,50,75,up_25%,25.0,3245.6184,3408.1642,4986.6806,2305.7077,2875.1755,2015.545,0.6687,0.7221,0.4698,366
6,50,75,up_30%,30.0,3245.6184,3408.1642,5186.1893,2305.7077,2875.1755,2015.5263,0.6687,0.7221,0.4698,366
7,100,150,base_case,0.0,6491.2368,6816.3284,7978.6702,4611.4151,5750.351,4031.322,0.6687,0.7221,0.4698,366
7,100,150,down_80%,-80.0,6491.2368,6816.3284,1595.6784,4611.4151,5750.351,4032.5683,0.6687,0.7219,0.4698,366
7,100,150,down_75%,-75.0,6491.2368,6816.3284,1994.6964,4611.4151,5750.351,4032.4679,0.6687,0.722,0.4698,366
7,100,150,down_70%,-70.0,6491.2368,6816.3284,2393.515,4611.4151,5750.351,4032.3707,0.6687,0.722,0.4698,366
7,100,150,down_65%,-65.0,6491.2368,6816.3284,2792.5331,4611.4151,5750.351,4032.2762,0.6687,0.722,0.4698,366
7,100,150,down_60%,-60.0,6491.2368,6816.3284,3191.4514,4611.4151,5750.351,4032.1848,0.6687,0.722,0.4698,366
7,100,150,down_55%,-55.0,6491.2368,6816.3284,3590.3697,4611.4151,5750.351,4032.0965,0.6687,0.722,0.4698,366
7,100,150,down_50%,-50.0,6491.2368,6816.3284,3989.3872,4611.4151,5750.351,4032.0109,0.6687,0.722,0.4698,366
7,100,150,down_45%,-45.0,6491.2368,6816.3284,4388.3055,4611.4151,5750.351,4031.9286,0.6687,0.722,0.4698,366
7,100,150,down_40%,-40.0,6491.2368,6816.3284,4787.2238,4611.4151,5750.351,4031.8492,0.6687,0.722,0.4698,366
7,100,150,down_35%,-35.0,6491.2368,6816.3284,5186.1423,4611.4151,5750.351,4031.7727,0.6687,0.722,0.4698,366
7,100,150,down_30%,-30.0,6491.2368,6816.3284,5585.0604,4611.4151,5750.351,4031.6994,0.6687,0.722,0.4698,366
7,100,150,down_25%,-25.0,6491.2368,6816.3284,5983.979,4611.4151,5750.351,4031.629,0.6687,0.7221,0.4698,366
7,100,150,down_20%,-20.0,6491.2368,6816.3284,6382.9967,4611.4151,5750.351,4031.5616,0.6687,0.7221,0.4698,366
7,100,150,down_15%,-15.0,6491.2368,6816.3284,6781.8156,4611.4151,5750.351,4031.4972,0.6687,0.7221,0.4698,366
7,100,150,down_10%,-10.0,6491.2368,6816.3284,7180.8336,4611.4151,5750.351,4031.4357,0.6687,0.7221,0.4698,366
7,100,150,down_5%,-5.0,6491.2368,6816.3284,7579.6522,4611.4151,5750.351,4031.3774,0.6687,0.7221,0.4698,366
7,100,150,up_5%,5.0,6491.2368,6816.3284,8377.6877,4611.4151,5750.351,4031.2696,0.6687,0.7221,0.4698,366
7,100,150,up_10%,10.0,6491.2368,6816.3284,8776.5068,4611.4151,5750.351,4031.2202,0.6687,0.7221,0.4698,366
7,100,150,up_15%,15.0,6491.2368,6816.3284,9175.5246,4611.4151,5750.351,4031.1738,0.6687,0.7221,0.4698,366
7,100,150,up_20%,20.0,6491.2368,6816.3284,9574.3434,4611.4151,5750.351,4031.1304,0.6687,0.7221,0.4698,366
7,100,150,up_25%,25.0,6491.2368,6816.3284,9973.3612,4611.4151,5750.351,4031.09,0.6687,0.7221,0.4698,366
7,100,150,up_30%,30.0,6491.2368,6816.3284,10372.2795,4611.4151,5750.351,4031.0525,0.6687,0.7221,0.4698,366
8,10,20,base_case,0.0,845.6515,884.3255,797.8669,609.2296,759.1855,403.1331,0.67,0.721,0.4654,366
8,10,20,down_80%,-80.0,845.6515,884.3255,159.5754,609.2296,759.1855,403.2601,0.67,0.7209,0.4654,366
8,10,20,down_75%,-75.0,845.6515,884.3255,199.4568,609.2296,759.1855,403.2501,0.67,0.7209,0.4654,366
8,10,20,down_70%,-70.0,845.6515,884.3255,239.362,609.2296,759.1855,403.2413,0.67,0.7209,0.4654,366
8,10,20,down_65%,-65.0,845.6515,884.3255,279.262,609.2296,759.1855,403.2289,0.67,0.7209,0.4654,366
8,10,20,down_60%,-60.0,845.6515,884.3255,319.1445,609.2296,759.1855,403.2169,0.67,0.7209,0.4654,366
8,10,20,down_55%,-55.0,845.6515,884.3255,359.047,609.2296,759.1855,403.2053,0.67,0.7209,0.4654,366
8,10,20,down_50%,-50.0,845.6515,884.3255,398.9287,609.2296,759.1855,403.1967,0.67,0.721,0.4654,366
8,10,20,down_45%,-45.0,845.6515,884.3255,438.8309,609.2296,759.1855,403.1948,0.67,0.721,0.4654,366
8,10,20,down_40%,-40.0,845.6515,884.3255,478.7358,609.2296,759.1855,403.1878,0.67,0.721,0.4654,366
8,10,20,down_35%,-35.0,845.6515,884.3255,518.615,609.2296,759.1855,403.1786,0.67,0.721,0.4654,366
