config_id,power_mw,energy_mwh,scenario,dc_price_scale_factor,dam_mean,idm_mean,dc_mean,dam_std,idm_std,dc_std,corr_dam_idm,corr_dam_dc,corr_idm_dc,num_trading_days
7,100,150,down_20%,0.8,6491.2368,6816.3284,6382.9333,4611.4151,5750.351,3225.0573,0.6687,0.7221,0.4698,366
7,100,150,down_15%,0.85,6491.2368,6816.3284,6781.8694,4611.4151,5750.351,3426.6246,0.6687,0.7221,0.4698,366
7,100,150,down_10%,0.9,6491.2368,6816.3284,7180.8033,4611.4151,5750.351,3628.1889,0.6687,0.7221,0.4698,366
7,100,150,down_5%,0.95,6491.2368,6816.3284,7579.7393,4611.4151,5750.351,3829.7562,0.6687,0.7221,0.4698,366
7,100,150,up_5%,1.05,6491.2368,6816.3284,8377.6011,4611.4151,5750.351,4232.8878,0.6687,0.7221,0.4698,366
7,100,150,up_10%,1.1,6491.2368,6816.3284,8776.5369,4611.4151,5750.351,4434.4551,0.6687,0.7221,0.4698,366
7,100,150,up_15%,1.15,6491.2368,6816.3284,9175.4708,4611.4151,5750.351,4636.0194,0.6687,0.7221,0.4698,366
7,100,150,up_25%,1.25,6491.2368,6816.3284,9973.3377,4611.4151,5750.351,5039.1525,0.6687,0.7221,0.4698,366
7,100,150,up_20%,1.2,6491.2368,6816.3284,9574.4068,4611.4151,5750.351,4837.5867,0.6687,0.7221,0.4698,366
7,100,150,up_30%,1.3,6491.2368,6816.3284,10372.2683,4611.4151,5750.351,5240.7184,0.6687,0.7221,0.4698,366
8,10,20,base_case,1.0,845.6515,884.3255,797.8669,609.2296,759.1855,403.1331,0.67,0.721,0.4654,366
8,10,20,down_35%,0.65,845.6515,884.3255,518.615,609.2296,759.1855,262.0369,0.67,0.721,0.4654,366
8,10,20,down_40%,0.6,845.6515,884.3255,478.7186,609.2296,759.1855,241.8784,0.67,0.7211,0.4654,366
8,10,20,down_50%,0.5,845.6515,884.3255,398.9309,609.2296,759.1855,201.5658,0.67,0.721,0.4654,366
8,10,20,down_45%,0.55,845.6515,884.3255,438.8262,609.2296,759.1855,221.722,0.67,0.721,0.4654,366
8,10,20,down_55%,0.45,845.6515,884.3255,359.041,609.2296,759.1855,181.4099,0.67,0.7211,0.4654,366
8,10,20,down_60%,0.4,845.6515,884.3255,319.1464,609.2296,759.1855,161.2511,0.67,0.721,0.4654,366
8,10,20,down_65%,0.35,845.6515,884.3255,279.2549,609.2296,759.1855,141.0972,0.67,0.7211,0.4654,366
8,10,20,down_70%,0.3,845.6515,884.3255,239.3598,609.2296,759.1855,120.9383,0.67,0.7211,0.4654,366
8,10,20,down_75%,0.25,845.6515,884.3255,199.4669,609.2296,759.1855,100.7821,0.67,0.7211,0.4654,366
8,10,20,down_80%,0.2,845.6515,884.3255,159.5697,609.2296,759.1855,80.6252,0.67,0.721,0.4655,366
8,10,20,down_30%,0.7,845.6515,884.3255,558.5077,609.2296,759.1855,282.1933,0.67,0.7211,0.4654,366
8,10,20,down_25%,0.75,845.6515,884.3255,598.403,609.2296,759.1855,302.3494,0.67,0.7211,0.4654,366
8,10,20,down_20%,0.8,845.6515,884.3255,638.2929,609.2296,759.1855,322.5053,0.67,0.721,0.4654,366
8,10,20,down_15%,0.85,845.6515,884.3255,678.1872,609.2296,759.1855,342.6642,0.67,0.7211,0.4654,366
8,10,20,down_10%,0.9,845.6515,884.3255,718.0787,609.2296,759.1855,362.8181,0.67,0.721,0.4654,366
8,10,20,down_5%,0.95,845.6515,884.3255,757.974,609.2296,759.1855,382.977,0.67,0.721,0.4654,366
8,10,20,up_5%,1.05,845.6515,884.3255,837.7642,609.2296,759.1855,423.29,0.67,0.721,0.4654,366
8,10,20,up_10%,1.1,845.6515,884.3255,877.6522,609.2296,759.1855,443.4461,0.67,0.7211,0.4654,366
8,10,20,up_15%,1.15,845.6515,884.3255,917.5475,609.2296,759.1855,463.6019,0.67,0.7211,0.4654,366
8,10,20,up_25%,1.25,845.6515,884.3255,997.3339,609.2296,759.1855,503.9152,0.67,0.721,0.4654,366
8,10,20,up_20%,1.2,845.6515,884.3255,957.4391,609.2296,759.1855,483.7568,0.67,0.721,0.4654,366
8,10,20,up_30%,1.3,845.6515,884.3255,1037.2287,609.2296,759.1855,524.0736,0.67,0.721,0.4654,366
9,30,60,base_case,1.0,2536.9552,2652.9767,2393.5984,1827.6883,2277.5562,1209.3963,0.67,0.721,0.4654,366
9,30,60,down_35%,0.65,2536.9552,2652.9767,1555.8415,1827.6883,2277.5562,786.1085,0.67,0.721,0.4654,366
9,30,60,down_40%,0.6,2536.9552,2652.9767,1436.1598,1827.6883,2277.5562,725.6372,0.67,0.721,0.4654,366
9,30,60,down_50%,0.5,2536.9552,2652.9767,1196.8008,1827.6883,2277.5562,604.6973,0.67,0.721,0.4654,366
9,30,60,down_45%,0.55,2536.9552,2652.9767,1316.4801,1827.6883,2277.5562,665.1664,0.67,0.721,0.4654,366
9,30,60,down_55%,0.45,2536.9552,2652.9767,1077.1197,1827.6883,2277.5562,544.2287,0.67,0.721,0.4654,366
9,30,60,down_60%,0.4,2536.9552,2652.9767,957.4391,1827.6883,2277.5562,483.7568,0.67,0.721,0.4654,366
9,30,60,down_65%,0.35,2536.9552,2652.9767,837.7642,1827.6883,2277.5562,423.29,0.67,0.721,0.4654,366
9,30,60,down_70%,0.3,2536.9552,2652.9767,718.0787,1827.6883,2277.5562,362.8181,0.67,0.721,0.4654,366
9,30,60,down_75%,0.25,2536.9552,2652.9767,598.403,1827.6883,2277.5562,302.3494,0.67,0.7211,0.4654,366
