registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Installed capacity (MW),Delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,0.96,2025-03-05T07:00:00,2025-03-05T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,3.98,2025-03-05T11:00:00,2025-03-05T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,7.22,2025-03-05T19:00:00,2025-03-05T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,3.42,2025-03-05T15:00:00,2025-03-05T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,3.62,2025-03-06T19:00:00,2025-03-06T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,2.75,2025-03-05T23:00:00,2025-03-06T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,7.5,2025-03-06T03:00:00,2025-03-06T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,5.26,2025-03-06T11:00:00,2025-03-06T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,0.97,2025-03-06T07:00:00,2025-03-06T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,3.49,2025-03-06T15:00:00,2025-03-06T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,5,2025-03-06T19:00:00,2025-03-06T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,5,2025-03-06T03:00:00,2025-03-06T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,6.21,2025-03-05T23:00:00,2025-03-06T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,9.94,2025-03-06T07:00:00,2025-03-06T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,7.5,2025-03-06T11:00:00,2025-03-06T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,12.19,2025-03-06T15:00:00,2025-03-06T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,4,2025-03-07T11:00:00,2025-03-07T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,2.66,2025-03-07T07:00:00,2025-03-07T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,1.31,2025-03-07T15:00:00,2025-03-07T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,5.4,2025-03-07T19:00:00,2025-03-07T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,4.27,2025-03-06T23:00:00,2025-03-07T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,7.69,2025-03-07T03:00:00,2025-03-07T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,5.02,2025-03-07T07:00:00,2025-03-07T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,5.52,2025-03-07T15:00:00,2025-03-07T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,1.5,2025-03-07T11:00:00,2025-03-07T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,1,2025-03-07T19:00:00,2025-03-07T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,2.24,2025-03-07T03:00:00,2025-03-07T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,7.02,2025-03-06T23:00:00,2025-03-07T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,3.95,2025-03-08T03:00:00,2025-03-08T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,5.5,2025-03-08T07:00:00,2025-03-08T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,6.5,2025-03-08T15:00:00,2025-03-08T19:00:00,,
