registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Installed capacity (MW),delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,10.89,2023-11-13T07:00:00,2023-11-13T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-4.69,2023-11-13T11:00:00,2023-11-13T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,10.98,2023-11-13T11:00:00,2023-11-13T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-3.65,2023-11-13T15:00:00,2023-11-13T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,14.89,2023-11-13T15:00:00,2023-11-13T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-2.96,2023-11-13T19:00:00,2023-11-13T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,9,2023-11-13T19:00:00,2023-11-13T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,29,2.97,2023-11-13T23:00:00,2023-11-14T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,6.64,2023-11-13T23:00:00,2023-11-14T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,29,5.1,2023-11-14T03:00:00,2023-11-14T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,7.61,2023-11-14T03:00:00,2023-11-14T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-7.76,2023-11-14T07:00:00,2023-11-14T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,11.48,2023-11-14T07:00:00,2023-11-14T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-6.83,2023-11-14T11:00:00,2023-11-14T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,12,2023-11-14T11:00:00,2023-11-14T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-4.87,2023-11-14T15:00:00,2023-11-14T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,17.75,2023-11-14T15:00:00,2023-11-14T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,0,-6.82,2023-11-14T19:00:00,2023-11-14T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,0,10,2023-11-14T19:00:00,2023-11-14T23:00:00,,
