registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Delivery quantity (MW) ,clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.06,2024-01-16T11:00:00,2024-01-16T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,5.5,2024-01-16T15:00:00,2024-01-16T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.49,2024-01-16T19:00:00,2024-01-16T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.69,2024-01-16T23:00:00,2024-01-17T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.5,2024-01-17T03:00:00,2024-01-17T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.44,2024-01-17T07:00:00,2024-01-17T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.98,2024-01-17T11:00:00,2024-01-17T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,8.75,2024-01-17T15:00:00,2024-01-17T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.81,2024-01-17T19:00:00,2024-01-17T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.63,2024-01-17T23:00:00,2024-01-18T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.64,2024-01-18T03:00:00,2024-01-18T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.5,2024-01-18T07:00:00,2024-01-18T11:00:00,,
